Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,Germany,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.92,..,..,..,..,..,..,..,..,..,4.92,..,..,..,..,..,..,..,..,..,..,..
DJI,Djibouti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.56,..,..,..,..,..,..,..,..,..,2.56,..,..,..,..,..,..,..,..,..,..,..
DMA,Dominica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,9.4,..,..,..,..,..,..,..,..,..,9.4,..,..,..,..,..,..,..,..,..,..,..
DNK,Denmark,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,17.67,..,..,..,..,..,..,..,..,..,17.67,..,..,..,..,..,..,..,..,..,..,..
DOM,Dominican Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.14,..,..,..,..,..,..,..,..,..,4.14,..,..,..,..,..,..,..,..,..,..,..
DZA,Algeria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.35,..,..,..,..,..,..,..,..,..,0.35,..,..,..,..,..,..,..,..,..,..,..
EAP,East Asia & Pacific,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.46,..,..,..,..,..,..,..,..,..,2.45,..,..,..,..,..,..,..,..,..,..,..
ECA,Europe & Central Asia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.44,..,..,..,..,..,..,..,..,..,2.49,..,..,..,..,..,..,..,..,..,..,..
ECU,Ecuador,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.04,..,..,..,..,..,..,..,..,..,2.04,..,..,..,..,..,..,..,..,..,..,..
EGY,"Egypt, Arab Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.05,..,..,..,..,..,..,..,..,..,4.05,..,..,..,..,..,..,..,..,..,..,..
EMU,Euro area,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.6,..,..,..,..,..,..,..,..,..,3.57,..,..,..,..,..,..,..,..,..,..,..
ERI,Eritrea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.12,..,..,..,..,..,..,..,..,..,3.12,..,..,..,..,..,..,..,..,..,..,..
ESP,Spain,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.26,..,..,..,..,..,..,..,..,..,1.26,..,..,..,..,..,..,..,..,..,..,..
EST,Estonia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.35,..,..,..,..,..,..,..,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..
ETH,Ethiopia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.67,..,..,..,..,..,..,..,..,..,0.67,..,..,..,..,..,..,..,..,..,..,..
FIN,Finland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.11,..,..,..,..,..,..,..,..,..,1.11,..,..,..,..,..,..,..,..,..,..,..
FJI,Fiji,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,11.36,..,..,..,..,..,..,..,..,..,11.36,..,..,..,..,..,..,..,..,..,..,..
FRA,France,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.07,..,..,..,..,..,..,..,..,..,2.07,..,..,..,..,..,..,..,..,..,..,..
FRO,Faeroe Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,14.55,..,..,..,..,..,..,..,..,..,14.55,..,..,..,..,..,..,..,..,..,..,..
FSM,"Micronesia, Fed. Sts.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,33.37,..,..,..,..,..,..,..,..,..,33.37,..,..,..,..,..,..,..,..,..,..,..
GAB,Gabon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.54,..,..,..,..,..,..,..,..,..,0.54,..,..,..,..,..,..,..,..,..,..,..
GBR,United Kingdom,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,7.61,..,..,..,..,..,..,..,..,..,7.61,..,..,..,..,..,..,..,..,..,..,..
GEO,Georgia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.43,..,..,..,..,..,..,..,..,..,1.43,..,..,..,..,..,..,..,..,..,..,..
GHA,Ghana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.77,..,..,..,..,..,..,..,..,..,0.77,..,..,..,..,..,..,..,..,..,..,..
GIB,Gibraltar,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,100,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..
GIN,Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.05,..,..,..,..,..,..,..,..,..,1.05,..,..,..,..,..,..,..,..,..,..,..
GMB,"Gambia, The",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,16.58,..,..,..,..,..,..,..,..,..,16.58,..,..,..,..,..,..,..,..,..,..,..
GNB,Guinea-Bissau,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,9.5,..,..,..,..,..,..,..,..,..,9.5,..,..,..,..,..,..,..,..,..,..,..
GNQ,Equatorial Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.92,..,..,..,..,..,..,..,..,..,0.92,..,..,..,..,..,..,..,..,..,..,..
GRC,Greece,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,6.33,..,..,..,..,..,..,..,..,..,6.33,..,..,..,..,..,..,..,..,..,..,..
GRD,Grenada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,21.75,..,..,..,..,..,..,..,..,..,21.75,..,..,..,..,..,..,..,..,..,..,..
GRL,Greenland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,16.27,..,..,..,..,..,..,..,..,..,16.27,..,..,..,..,..,..,..,..,..,..,..
GTM,Guatemala,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.56,..,..,..,..,..,..,..,..,..,0.56,..,..,..,..,..,..,..,..,..,..,..
GUM,Guam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,20.38,..,..,..,..,..,..,..,..,..,20.38,..,..,..,..,..,..,..,..,..,..,..
GUY,Guyana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.72,..,..,..,..,..,..,..,..,..,2.72,..,..,..,..,..,..,..,..,..,..,..
HIC,High income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.18,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,..,..,..,..,..,..
HKG,"Hong Kong SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,24.57,..,..,..,..,..,..,..,..,..,24.57,..,..,..,..,..,..,..,..,..,..,..
HND,Honduras,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.04,..,..,..,..,..,..,..,..,..,3.04,..,..,..,..,..,..,..,..,..,..,..
HRV,Croatia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.03,..,..,..,..,..,..,..,..,..,3.03,..,..,..,..,..,..,..,..,..,..,..
HTI,Haiti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.94,..,..,..,..,..,..,..,..,..,3.94,..,..,..,..,..,..,..,..,..,..,..
HUN,Hungary,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
IDN,Indonesia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,5.5,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..,..,..,..,..
IMY,Isle of Man,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,12.09,..,..,..,..,..,..,..,..,..,12.09,..,..,..,..,..,..,..,..,..,..,..
IND,India,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.35,..,..,..,..,..,..,..,..,..,1.35,..,..,..,..,..,..,..,..,..,..,..
IRL,Ireland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.96,..,..,..,..,..,..,..,..,..,3.96,..,..,..,..,..,..,..,..,..,..,..
IRN,"Iran, Islamic Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.59,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,..,..,..,..,..,..
IRQ,Iraq,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.02,..,..,..,..,..,..,..,..,..,4.02,..,..,..,..,..,..,..,..,..,..,..
ISL,Iceland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.41,..,..,..,..,..,..,..,..,..,4.41,..,..,..,..,..,..,..,..,..,..,..
ISR,Israel,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,7.82,..,..,..,..,..,..,..,..,..,7.82,..,..,..,..,..,..,..,..,..,..,..
ITA,Italy,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,5.19,..,..,..,..,..,..,..,..,..,5.19,..,..,..,..,..,..,..,..,..,..,..
JAM,Jamaica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,7.14,..,..,..,..,..,..,..,..,..,7.14,..,..,..,..,..,..,..,..,..,..,..
JOR,Jordan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.01,..,..,..,..,..,..,..,..,..,2.01,..,..,..,..,..,..,..,..,..,..,..
JPN,Japan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,5.88,..,..,..,..,..,..,..,..,..,5.88,..,..,..,..,..,..,..,..,..,..,..
KAZ,Kazakhstan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,6.68,..,..,..,..,..,..,..,..,..,6.68,..,..,..,..,..,..,..,..,..,..,..
KEN,Kenya,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.24,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,..,..,..,..,..,..
KGZ,Kyrgyz Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
