year,state,month,number,date
2005,Alagoas,aug,2,1/1/05
2006,Alagoas,aug,1,1/1/06
2007,Alagoas,aug,3,1/1/07
2008,Alagoas,aug,1,1/1/08
2009,Alagoas,aug,0,1/1/09
2010,Alagoas,aug,1,1/1/10
2011,Alagoas,aug,4,1/1/11
2012,Alagoas,aug,0,1/1/12
2013,Alagoas,aug,0,1/1/13
2014,Alagoas,aug,3,1/1/14
2015,Alagoas,aug,3,1/1/15
2016,Alagoas,aug,5,1/1/16
2017,Alagoas,aug,1,1/1/17
1998,Alagoas,sep,14,1/1/98
1999,Alagoas,sep,3,1/1/99
2000,Alagoas,sep,22,1/1/00
2001,Alagoas,sep,5,1/1/01
2002,Alagoas,sep,14,1/1/02
2003,Alagoas,sep,8,1/1/03
2004,Alagoas,sep,5,1/1/04
2005,Alagoas,sep,7,1/1/05
2006,Alagoas,sep,4,1/1/06
2007,Alagoas,sep,2,1/1/07
2008,Alagoas,sep,9,1/1/08
2009,Alagoas,sep,13,1/1/09
2010,Alagoas,sep,5,1/1/10
2011,Alagoas,sep,5,1/1/11
2012,Alagoas,sep,6,1/1/12
2013,Alagoas,sep,4,1/1/13
2014,Alagoas,sep,11,1/1/14
2015,Alagoas,sep,7,1/1/15
2016,Alagoas,sep,18,1/1/16
2017,Alagoas,sep,4,1/1/17
1998,Alagoas,oct,20,1/1/98
1999,Alagoas,oct,4,1/1/99
2000,Alagoas,oct,13,1/1/00
2001,Alagoas,oct,15,1/1/01
2002,Alagoas,oct,30,1/1/02
2003,Alagoas,oct,10,1/1/03
2004,Alagoas,oct,12,1/1/04
2005,Alagoas,oct,17,1/1/05
2006,Alagoas,oct,32,1/1/06
2007,Alagoas,oct,6,1/1/07
2008,Alagoas,oct,18,1/1/08
2009,Alagoas,oct,30,1/1/09
2010,Alagoas,oct,16,1/1/10
2011,Alagoas,oct,23,1/1/11
2012,Alagoas,oct,28,1/1/12
2013,Alagoas,oct,25,1/1/13
2014,Alagoas,oct,7,1/1/14
2015,Alagoas,oct,40,1/1/15
2016,Alagoas,oct,74,1/1/16
2017,Alagoas,oct,14,1/1/17
1998,Alagoas,nov,19,1/1/98
1999,Alagoas,nov,15,1/1/99
2000,Alagoas,nov,2,1/1/00
2001,Alagoas,nov,22,1/1/01
2002,Alagoas,nov,50,1/1/02
2003,Alagoas,nov,17,1/1/03
2004,Alagoas,nov,28,1/1/04
2005,Alagoas,nov,25,1/1/05
2006,Alagoas,nov,12,1/1/06
2007,Alagoas,nov,15,1/1/07
2008,Alagoas,nov,37,1/1/08
2009,Alagoas,nov,55,1/1/09
2010,Alagoas,nov,31,1/1/10
2011,Alagoas,nov,23,1/1/11
2012,Alagoas,nov,95,1/1/12
2013,Alagoas,nov,10,1/1/13
2014,Alagoas,nov,14,1/1/14
2015,Alagoas,nov,162,1/1/15
2016,Alagoas,nov,76,1/1/16
2017,Alagoas,nov,10,1/1/17
1998,Alagoas,dec,32,1/1/98
1999,Alagoas,dec,12,1/1/99
2000,Alagoas,dec,2,1/1/00
2001,Alagoas,dec,30,1/1/01
2002,Alagoas,dec,95,1/1/02
2003,Alagoas,dec,43,1/1/03
2004,Alagoas,dec,71,1/1/04
2005,Alagoas,dec,16,1/1/05
2006,Alagoas,dec,30,1/1/06
2007,Alagoas,dec,33,1/1/07
2008,Alagoas,dec,34,1/1/08
2009,Alagoas,dec,55,1/1/09
2010,Alagoas,dec,45,1/1/10
2011,Alagoas,dec,50,1/1/11
2012,Alagoas,dec,59,1/1/12
2013,Alagoas,dec,42,1/1/13
2014,Alagoas,dec,24,1/1/14
2015,Alagoas,dec,136,1/1/15
2016,Alagoas,dec,155,1/1/16
1998,Amapa,jan,0,1/1/98
1999,Amapa,jan,0,1/1/99
2000,Amapa,jan,2,1/1/00
2001,Amapa,jan,0,1/1/01
2002,Amapa,jan,7,1/1/02
2003,Amapa,jan,31,1/1/03
2004,Amapa,jan,38,1/1/04
2005,Amapa,jan,109,1/1/05
2006,Amapa,jan,6,1/1/06
2007,Amapa,jan,0,1/1/07
2008,Amapa,jan,2,1/1/08
2009,Amapa,jan,4,1/1/09
2010,Amapa,jan,2,1/1/10
2011,Amapa,jan,0,1/1/11
2012,Amapa,jan,30,1/1/12
2013,Amapa,jan,3,1/1/13
2014,Amapa,jan,10,1/1/14
2015,Amapa,jan,14,1/1/15
2016,Amapa,jan,19,1/1/16
2017,Amapa,jan,2,1/1/17
1998,Amapa,feb,0,1/1/98
1999,Amapa,feb,1,1/1/99
2000,Amapa,feb,0,1/1/00
2001,Amapa,feb,0,1/1/01
2002,Amapa,feb,2,1/1/02
2003,Amapa,feb,0,1/1/03
2004,Amapa,feb,2,1/1/04
2005,Amapa,feb,1,1/1/05
2006,Amapa,feb,2,1/1/06
2007,Amapa,feb,0,1/1/07
2008,Amapa,feb,0,1/1/08
2009,Amapa,feb,0,1/1/09
2010,Amapa,feb,0,1/1/10
2011,Amapa,feb,3,1/1/11
2012,Amapa,feb,5,1/1/12
2013,Amapa,feb,0,1/1/13
2014,Amapa,feb,2,1/1/14
2015,Amapa,feb,1,1/1/15
2016,Amapa,feb,1,1/1/16
2017,Amapa,feb,0,1/1/17
1998,Amapa,mar,0,1/1/98
1999,Amapa,mar,2,1/1/99
2000,Amapa,mar,0,1/1/00
2001,Amapa,mar,0,1/1/01
2002,Amapa,mar,0,1/1/02
2003,Amapa,mar,1,1/1/03
2004,Amapa,mar,0,1/1/04
2005,Amapa,mar,0,1/1/05
2006,Amapa,mar,0,1/1/06
2007,Amapa,mar,0,1/1/07
2008,Amapa,mar,1,1/1/08
2009,Amapa,mar,1,1/1/09
2010,Amapa,mar,2,1/1/10
2011,Amapa,mar,0,1/1/11
2012,Amapa,mar,1,1/1/12
2013,Amapa,mar,0,1/1/13
2014,Amapa,mar,1,1/1/14
2015,Amapa,mar,2,1/1/15
2016,Amapa,mar,5,1/1/16
2017,Amapa,mar,0,1/1/17
1998,Amapa,apr,0,1/1/98
1999,Amapa,apr,0,1/1/99
2000,Amapa,apr,0,1/1/00
2001,Amapa,apr,0,1/1/01
2002,Amapa,apr,0,1/1/02
2003,Amapa,apr,2,1/1/03
2004,Amapa,apr,0,1/1/04
2005,Amapa,apr,0,1/1/05
2006,Amapa,apr,0,1/1/06
2007,Amapa,apr,0,1/1/07
2008,Amapa,apr,2,1/1/08
2009,Amapa,apr,0,1/1/09
2010,Amapa,apr,2,1/1/10
2011,Amapa,apr,0,1/1/11
2012,Amapa,apr,2,1/1/12
2013,Amapa,apr,2,1/1/13
2014,Amapa,apr,0,1/1/14
2015,Amapa,apr,0,1/1/15
2016,Amapa,apr,0,1/1/16
2017,Amapa,apr,3,1/1/17
1998,Amapa,may,0,1/1/98
1999,Amapa,may,0,1/1/99
2000,Amapa,may,0,1/1/00
2001,Amapa,may,0,1/1/01
2002,Amapa,may,3,1/1/02
2003,Amapa,may,0,1/1/03
2004,Amapa,may,0,1/1/04
2005,Amapa,may,0,1/1/05
2006,Amapa,may,0,1/1/06
2007,Amapa,may,0,1/1/07
2008,Amapa,may,0,1/1/08
2009,Amapa,may,2,1/1/09
2010,Amapa,may,2,1/1/10
2011,Amapa,may,2,1/1/11
2012,Amapa,may,2,1/1/12
2013,Amapa,may,0,1/1/13
2014,Amapa,may,0,1/1/14
2015,Amapa,may,0,1/1/15
2016,Amapa,may,1,1/1/16
2017,Amapa,may,1,1/1/17
1998,Amapa,jun,0,1/1/98
1999,Amapa,jun,2,1/1/99
2000,Amapa,jun,0,1/1/00
2001,Amapa,jun,0,1/1/01
2002,Amapa,jun,0,1/1/02
