year,state,month,number,date
2006,Pará,mar,10,1/1/06
2007,Pará,mar,6,1/1/07
2008,Pará,mar,4,1/1/08
2009,Pará,mar,4,1/1/09
2010,Pará,mar,110,1/1/10
2011,Pará,mar,21,1/1/11
2012,Pará,mar,30,1/1/12
2013,Pará,mar,19,1/1/13
2014,Pará,mar,34,1/1/14
2015,Pará,mar,61,1/1/15
2016,Pará,mar,81,1/1/16
2017,Pará,mar,42,1/1/17
1998,Pará,apr,0,1/1/98
1999,Pará,apr,6,1/1/99
2000,Pará,apr,40,1/1/00
2001,Pará,apr,0,1/1/01
2002,Pará,apr,11,1/1/02
2003,Pará,apr,14,1/1/03
2004,Pará,apr,23,1/1/04
2005,Pará,apr,14,1/1/05
2006,Pará,apr,2,1/1/06
2007,Pará,apr,0,1/1/07
2008,Pará,apr,7,1/1/08
2009,Pará,apr,8,1/1/09
2010,Pará,apr,22,1/1/10
2011,Pará,apr,10,1/1/11
2012,Pará,apr,11,1/1/12
2013,Pará,apr,20,1/1/13
2014,Pará,apr,27,1/1/14
2015,Pará,apr,27,1/1/15
2016,Pará,apr,66,1/1/16
2017,Pará,apr,45,1/1/17
1998,Pará,may,0,1/1/98
1999,Pará,may,4,1/1/99
2000,Pará,may,12,1/1/00
2001,Pará,may,7,1/1/01
2002,Pará,may,18,1/1/02
2003,Pará,may,3,1/1/03
2004,Pará,may,44,1/1/04
2005,Pará,may,37,1/1/05
2006,Pará,may,0,1/1/06
2007,Pará,may,9,1/1/07
2008,Pará,may,0,1/1/08
2009,Pará,may,7,1/1/09
2010,Pará,may,57,1/1/10
2011,Pará,may,16,1/1/11
2012,Pará,may,59,1/1/12
2013,Pará,may,42,1/1/13
2014,Pará,may,70,1/1/14
2015,Pará,may,95,1/1/15
2016,Pará,may,154,1/1/16
2017,Pará,may,114,1/1/17
1998,Pará,jun,58,1/1/98
1999,Pará,jun,37,1/1/99
2000,Pará,jun,59,1/1/00
2001,Pará,jun,42,1/1/01
2002,Pará,jun,149,1/1/02
2003,Pará,jun,64,1/1/03
2004,Pará,jun,340,1/1/04
2005,Pará,jun,304,1/1/05
2006,Pará,jun,78,1/1/06
2007,Pará,jun,129,1/1/07
2008,Pará,jun,48,1/1/08
2009,Pará,jun,38,1/1/09
2010,Pará,jun,94,1/1/10
2011,Pará,jun,105,1/1/11
2012,Pará,jun,183,1/1/12
2013,Pará,jun,173,1/1/13
2014,Pará,jun,319,1/1/14
2015,Pará,jun,265,1/1/15
2016,Pará,jun,502,1/1/16
2017,Pará,jun,679,1/1/17
1998,Pará,jul,638,1/1/98
1999,Pará,jul,982,1/1/99
2000,Pará,jul,426,1/1/00
2001,Pará,jul,708,1/1/01
2002,Pará,jul,772,1/1/02
2003,Pará,jul,1.571,1/1/03
2004,Pará,jul,4.436,1/1/04
2005,Pará,jul,4.364,1/1/05
2006,Pará,jul,615,1/1/06
2007,Pará,jul,476,1/1/07
2008,Pará,jul,971,1/1/08
2009,Pará,jul,397,1/1/09
2010,Pará,jul,1.432,1/1/10
2011,Pará,jul,632,1/1/11
2012,Pará,jul,661,1/1/12
2013,Pará,jul,447,1/1/13
2014,Pará,jul,825,1/1/14
2015,Pará,jul,906,1/1/15
2016,Pará,jul,1.579,1/1/16
2017,Pará,jul,4.985,1/1/17
1998,Pará,aug,6.815,1/1/98
1999,Pará,aug,6.178,1/1/99
2000,Pará,aug,5.484,1/1/00
2001,Pará,aug,9.043,1/1/01
2002,Pará,aug,15.664,1/1/02
2003,Pará,aug,6.255,1/1/03
2004,Pará,aug,12.812,1/1/04
2005,Pará,aug,13.055,1/1/05
2006,Pará,aug,7.575,1/1/06
2007,Pará,aug,14.352,1/1/07
2008,Pará,aug,4.435,1/1/08
2009,Pará,aug,3.859,1/1/09
2010,Pará,aug,18.13,1/1/10
2011,Pará,aug,2.195,1/1/11
2012,Pará,aug,6.964,1/1/12
2013,Pará,aug,2.161,1/1/13
2014,Pará,aug,8.555,1/1/14
2015,Pará,aug,7.913,1/1/15
2016,Pará,aug,4.863,1/1/16
2017,Pará,aug,11.962,1/1/17
1998,Pará,sep,6.237,1/1/98
1999,Pará,sep,4.419,1/1/99
2000,Pará,sep,2.569,1/1/00
2001,Pará,sep,6.139,1/1/01
2002,Pará,sep,5.609,1/1/02
2003,Pará,sep,8.447,1/1/03
2004,Pará,sep,9.471,1/1/04
2005,Pará,sep,9.032,1/1/05
2006,Pará,sep,8.372,1/1/06
2007,Pará,sep,14.59,1/1/07
2008,Pará,sep,6.294,1/1/08
2009,Pará,sep,6.051,1/1/09
2010,Pará,sep,10.81,1/1/10
2011,Pará,sep,5.185,1/1/11
2012,Pará,sep,6.87,1/1/12
2013,Pará,sep,3.36,1/1/13
2014,Pará,sep,6.787,1/1/14
2015,Pará,sep,11.068,1/1/15
2016,Pará,sep,3.953,1/1/16
2017,Pará,sep,25.004,1/1/17
1998,Pará,oct,3.665,1/1/98
1999,Pará,oct,5.026,1/1/99
2000,Pará,oct,4.313,1/1/00
2001,Pará,oct,5.096,1/1/01
2002,Pará,oct,5.189,1/1/02
2003,Pará,oct,3.803,1/1/03
2004,Pará,oct,4.726,1/1/04
2005,Pará,oct,5.083,1/1/05
2006,Pará,oct,5.964,1/1/06
2007,Pará,oct,2.504,1/1/07
2008,Pará,oct,6.653,1/1/08
2009,Pará,oct,6.342,1/1/09
2010,Pará,oct,3.843,1/1/10
2011,Pará,oct,3.141,1/1/11
2012,Pará,oct,3.714,1/1/12
2013,Pará,oct,4.921,1/1/13
2014,Pará,oct,6.448,1/1/14
2015,Pará,oct,7.781,1/1/15
2016,Pará,oct,5.281,1/1/16
2017,Pará,oct,7.628,1/1/17
1998,Pará,nov,1.861,1/1/98
1999,Pará,nov,2.682,1/1/99
2000,Pará,nov,3.366,1/1/00
2001,Pará,nov,4.938,1/1/01
2002,Pará,nov,7.996,1/1/02
2003,Pará,nov,6.195,1/1/03
2004,Pará,nov,9.842,1/1/04
2005,Pará,nov,4.968,1/1/05
2006,Pará,nov,2.883,1/1/06
2007,Pará,nov,2.89,1/1/07
2008,Pará,nov,2.403,1/1/08
2009,Pará,nov,10.012,1/1/09
2010,Pará,nov,4.417,1/1/10
2011,Pará,nov,3.043,1/1/11
2012,Pará,nov,6.156,1/1/12
2013,Pará,nov,3.688,1/1/13
2014,Pará,nov,7.767,1/1/14
2015,Pará,nov,9.643,1/1/15
2016,Pará,nov,7.879,1/1/16
2017,Pará,nov,9.079,1/1/17
1998,Pará,dec,1.008,1/1/98
1999,Pará,dec,766,1/1/99
2000,Pará,dec,1.698,1/1/00
2001,Pará,dec,2.564,1/1/01
2002,Pará,dec,3.118,1/1/02
2003,Pará,dec,4.787,1/1/03
2004,Pará,dec,5.508,1/1/04
2005,Pará,dec,1.495,1/1/05
2006,Pará,dec,1.417,1/1/06
2007,Pará,dec,689,1/1/07
2008,Pará,dec,684,1/1/08
2009,Pará,dec,2.832,1/1/09
2010,Pará,dec,1.612,1/1/10
2011,Pará,dec,3.218,1/1/11
2012,Pará,dec,1.812,1/1/12
2013,Pará,dec,5.514,1/1/13
2014,Pará,dec,4.828,1/1/14
2015,Pará,dec,6.61,1/1/15
2016,Pará,dec,3.3,1/1/16
1998,Paraiba,jan,0,1/1/98
1999,Paraiba,jan,26,1/1/99
2000,Paraiba,jan,0,1/1/00
2001,Paraiba,jan,11,1/1/01
2002,Paraiba,jan,5,1/1/02
2003,Paraiba,jan,70,1/1/03
2004,Paraiba,jan,33,1/1/04
2005,Paraiba,jan,178,1/1/05
2006,Paraiba,jan,83,1/1/06
2007,Paraiba,jan,69,1/1/07
2008,Paraiba,jan,77,1/1/08
2009,Paraiba,jan,115,1/1/09
2010,Paraiba,jan,46,1/1/10
2011,Paraiba,jan,11,1/1/11
2012,Paraiba,jan,61,1/1/12
2013,Paraiba,jan,38,1/1/13
2014,Paraiba,jan,75,1/1/14
2015,Paraiba,jan,42,1/1/15
2016,Paraiba,jan,18,1/1/16
2017,Paraiba,jan,23,1/1/17
1998,Paraiba,feb,0,1/1/98
1999,Paraiba,feb,2,1/1/99
2000,Paraiba,feb,11,1/1/00
2001,Paraiba,feb,6,1/1/01
2002,Paraiba,feb,18,1/1/02
2003,Paraiba,feb,3,1/1/03
2004,Paraiba,feb,3,1/1/04
2005,Paraiba,feb,15,1/1/05
2006,Paraiba,feb,7,1/1/06
2007,Paraiba,feb,7,1/1/07
2008,Paraiba,feb,20,1/1/08
2009,Paraiba,feb,9,1/1/09
2010,Paraiba,feb,15,1/1/10
2011,Paraiba,feb,5,1/1/11
2012,Paraiba,feb,15,1/1/12
2013,Paraiba,feb,9,1/1/13
2014,Paraiba,feb,6,1/1/14
2015,Paraiba,feb,15,1/1/15
2016,Paraiba,feb,4,1/1/16
2017,Paraiba,feb,8,1/1/17
1998,Paraiba,mar,0,1/1/98
1999,Paraiba,mar,1,1/1/99
2000,Paraiba,mar,5,1/1/00
2001,Paraiba,mar,0,1/1/01
2002,Paraiba,mar,3,1/1/02
2003,Paraiba,mar,0,1/1/03
2004,Paraiba,mar,3,1/1/04
2005,Paraiba,mar,13,1/1/05
2006,Paraiba,mar,4,1/1/06
2007,Paraiba,mar,1,1/1/07
2008,Paraiba,mar,8,1/1/08
2009,Paraiba,mar,2,1/1/09
2010,Paraiba,mar,16,1/1/10
2011,Paraiba,mar,6,1/1/11
2012,Paraiba,mar,4,1/1/12
2013,Paraiba,mar,3,1/1/13
2014,Paraiba,mar,18,1/1/14
2015,Paraiba,mar,7,1/1/15
2016,Paraiba,mar,1,1/1/16
2017,Paraiba,mar,2,1/1/17
1998,Paraiba,apr,0,1/1/98
1999,Paraiba,apr,3,1/1/99
2000,Paraiba,apr,1,1/1/00
2001,Paraiba,apr,0,1/1/01
2002,Paraiba,apr,1,1/1/02
2003,Paraiba,apr,0,1/1/03
2004,Paraiba,apr,3,1/1/04
2005,Paraiba,apr,2,1/1/05
2006,Paraiba,apr,0,1/1/06
2007,Paraiba,apr,0,1/1/07
2008,Paraiba,apr,0,1/1/08
2009,Paraiba,apr,1,1/1/09
2010,Paraiba,apr,2,1/1/10
2011,Paraiba,apr,2,1/1/11
2012,Paraiba,apr,13,1/1/12
2013,Paraiba,apr,6,1/1/13
2014,Paraiba,apr,8,1/1/14
2015,Paraiba,apr,11,1/1/15
2016,Paraiba,apr,1,1/1/16
2017,Paraiba,apr,1,1/1/17
1998,Paraiba,may,0,1/1/98
1999,Paraiba,may,0,1/1/99
2000,Paraiba,may,0,1/1/00
2001,Paraiba,may,4,1/1/01
2002,Paraiba,may,1,1/1/02
2003,Paraiba,may,0,1/1/03
2004,Paraiba,may,1,1/1/04
2005,Paraiba,may,0,1/1/05
2006,Paraiba,may,0,1/1/06
2007,Paraiba,may,0,1/1/07
2008,Paraiba,may,0,1/1/08
2009,Paraiba,may,0,1/1/09
2010,Paraiba,may,10,1/1/10
2011,Paraiba,may,0,1/1/11
2012,Paraiba,may,10,1/1/12
2013,Paraiba,may,3,1/1/13
2014,Paraiba,may,1,1/1/14
2015,Paraiba,may,6,1/1/15
2016,Paraiba,may,1,1/1/16
2017,Paraiba,may,1,1/1/17
1998,Paraiba,jun,3,1/1/98
1999,Paraiba,jun,1,1/1/99
2000,Paraiba,jun,2,1/1/00
2001,Paraiba,jun,0,1/1/01
2002,Paraiba,jun,1,1/1/02
2003,Paraiba,jun,0,1/1/03
2004,Paraiba,jun,0,1/1/04
2005,Paraiba,jun,0,1/1/05
2006,Paraiba,jun,0,1/1/06
2007,Paraiba,jun,0,1/1/07
2008,Paraiba,jun,0,1/1/08
2009,Paraiba,jun,0,1/1/09
2010,Paraiba,jun,3,1/1/10
2011,Paraiba,jun,2,1/1/11
2012,Paraiba,jun,5,1/1/12
2013,Paraiba,jun,3,1/1/13
2014,Paraiba,jun,1,1/1/14
2015,Paraiba,jun,0,1/1/15
2016,Paraiba,jun,4,1/1/16
2017,Paraiba,jun,0,1/1/17
1998,Paraiba,jul,0,1/1/98
1999,Paraiba,jul,1,1/1/99
2000,Paraiba,jul,0,1/1/00
2001,Paraiba,jul,8,1/1/01
2002,Paraiba,jul,8,1/1/02
2003,Paraiba,jul,6,1/1/03
2004,Paraiba,jul,1,1/1/04
2005,Paraiba,jul,0,1/1/05
2006,Paraiba,jul,1,1/1/06
2007,Paraiba,jul,1,1/1/07
2008,Paraiba,jul,0,1/1/08
2009,Paraiba,jul,3,1/1/09
2010,Paraiba,jul,7,1/1/10
2011,Paraiba,jul,6,1/1/11
2012,Paraiba,jul,5,1/1/12
2013,Paraiba,jul,1,1/1/13
2014,Paraiba,jul,9,1/1/14
2015,Paraiba,jul,3,1/1/15
2016,Paraiba,jul,22,1/1/16
2017,Paraiba,jul,2,1/1/17
1998,Paraiba,aug,3,1/1/98
1999,Paraiba,aug,4,1/1/99
2000,Paraiba,aug,7,1/1/00
2001,Paraiba,aug,34,1/1/01
2002,Paraiba,aug,38,1/1/02
2003,Paraiba,aug,14,1/1/03
2004,Paraiba,aug,18,1/1/04
2005,Paraiba,aug,0,1/1/05
2006,Paraiba,aug,3,1/1/06
2007,Paraiba,aug,8,1/1/07
2008,Paraiba,aug,1,1/1/08
2009,Paraiba,aug,4,1/1/09
2010,Paraiba,aug,9,1/1/10
2011,Paraiba,aug,12,1/1/11
2012,Paraiba,aug,13,1/1/12
2013,Paraiba,aug,3,1/1/13
2014,Paraiba,aug,30,1/1/14
2015,Paraiba,aug,5,1/1/15
2016,Paraiba,aug,50,1/1/16
2017,Paraiba,aug,3,1/1/17
1998,Paraiba,sep,50,1/1/98
1999,Paraiba,sep,14,1/1/99
2000,Paraiba,sep,9,1/1/00
2001,Paraiba,sep,98,1/1/01
2002,Paraiba,sep,63,1/1/02
2003,Paraiba,sep,81,1/1/03
2004,Paraiba,sep,34,1/1/04
2005,Paraiba,sep,13,1/1/05
2006,Paraiba,sep,27,1/1/06
2007,Paraiba,sep,22,1/1/07
2008,Paraiba,sep,21,1/1/08
2009,Paraiba,sep,28,1/1/09
2010,Paraiba,sep,37,1/1/10
2011,Paraiba,sep,55,1/1/11
2012,Paraiba,sep,71,1/1/12
2013,Paraiba,sep,25,1/1/13
2014,Paraiba,sep,51,1/1/14
2015,Paraiba,sep,48,1/1/15
2016,Paraiba,sep,131,1/1/16
2017,Paraiba,sep,30,1/1/17
1998,Paraiba,oct,179,1/1/98
1999,Paraiba,oct,48,1/1/99
2000,Paraiba,oct,125,1/1/00
2001,Paraiba,oct,279,1/1/01
2002,Paraiba,oct,193,1/1/02
2003,Paraiba,oct,381,1/1/03
2004,Paraiba,oct,190,1/1/04
2005,Paraiba,oct,155,1/1/05
2006,Paraiba,oct,135,1/1/06
2007,Paraiba,oct,111,1/1/07
2008,Paraiba,oct,80,1/1/08
2009,Paraiba,oct,117,1/1/09
2010,Paraiba,oct,150,1/1/10
2011,Paraiba,oct,200,1/1/11
2012,Paraiba,oct,136,1/1/12
2013,Paraiba,oct,58,1/1/13
2014,Paraiba,oct,70,1/1/14
2015,Paraiba,oct,121,1/1/15
2016,Paraiba,oct,304,1/1/16
2017,Paraiba,oct,123,1/1/17
1998,Paraiba,nov,46,1/1/98
1999,Paraiba,nov,38,1/1/99
2000,Paraiba,nov,65,1/1/00
2001,Paraiba,nov,294,1/1/01
2002,Paraiba,nov,238,1/1/02
2003,Paraiba,nov,538,1/1/03
2004,Paraiba,nov,331,1/1/04
2005,Paraiba,nov,280,1/1/05
2006,Paraiba,nov,215,1/1/06
2007,Paraiba,nov,256,1/1/07
2008,Paraiba,nov,175,1/1/08
2009,Paraiba,nov,428,1/1/09
2010,Paraiba,nov,451,1/1/10
2011,Paraiba,nov,359,1/1/11
2012,Paraiba,nov,130,1/1/12
2013,Paraiba,nov,95,1/1/13
2014,Paraiba,nov,111,1/1/14
2015,Paraiba,nov,206,1/1/15
2016,Paraiba,nov,132,1/1/16
2017,Paraiba,nov,101,1/1/17
1998,Paraiba,dec,51,1/1/98
1999,Paraiba,dec,40,1/1/99
2000,Paraiba,dec,34,1/1/00
2001,Paraiba,dec,70,1/1/01
2002,Paraiba,dec,163,1/1/02
2003,Paraiba,dec,288,1/1/03
2004,Paraiba,dec,351,1/1/04
2005,Paraiba,dec,159,1/1/05
2006,Paraiba,dec,196,1/1/06
2007,Paraiba,dec,133,1/1/07
2008,Paraiba,dec,187,1/1/08
2009,Paraiba,dec,270,1/1/09
2010,Paraiba,dec,65,1/1/10
2011,Paraiba,dec,179,1/1/11
2012,Paraiba,dec,62,1/1/12
2013,Paraiba,dec,78,1/1/13
2014,Paraiba,dec,62,1/1/14
2015,Paraiba,dec,122,1/1/15
2016,Paraiba,dec,8,1/1/16
1998,Paraiba,jan,0,1/1/98
1999,Paraiba,jan,7,1/1/99
2000,Paraiba,jan,49,1/1/00
2001,Paraiba,jan,32,1/1/01
2002,Paraiba,jan,47,1/1/02
2003,Paraiba,jan,109,1/1/03
2004,Paraiba,jan,88,1/1/04
2005,Paraiba,jan,55,1/1/05
2006,Paraiba,jan,78,1/1/06
2007,Paraiba,jan,11,1/1/07
2008,Paraiba,jan,35,1/1/08
2009,Paraiba,jan,35,1/1/09
2010,Paraiba,jan,18,1/1/10
2011,Paraiba,jan,35,1/1/11
2012,Paraiba,jan,31,1/1/12
2013,Paraiba,jan,28,1/1/13
2014,Paraiba,jan,86,1/1/14
2015,Paraiba,jan,120,1/1/15
2016,Paraiba,jan,113,1/1/16
2017,Paraiba,jan,55,1/1/17
1998,Paraiba,feb,0,1/1/98
1999,Paraiba,feb,22,1/1/99
2000,Paraiba,feb,67,1/1/00
2001,Paraiba,feb,8,1/1/01
2002,Paraiba,feb,24,1/1/02
2003,Paraiba,feb,46,1/1/03
2004,Paraiba,feb,42,1/1/04
2005,Paraiba,feb,77,1/1/05
2006,Paraiba,feb,60,1/1/06
2007,Paraiba,feb,32,1/1/07
2008,Paraiba,feb,38,1/1/08
2009,Paraiba,feb,21,1/1/09
2010,Paraiba,feb,46,1/1/10
2011,Paraiba,feb,8,1/1/11
2012,Paraiba,feb,40,1/1/12
2013,Paraiba,feb,9,1/1/13
2014,Paraiba,feb,52,1/1/14
2015,Paraiba,feb,58,1/1/15
2016,Paraiba,feb,31,1/1/16
2017,Paraiba,feb,60,1/1/17
1998,Paraiba,mar,0,1/1/98
1999,Paraiba,mar,40,1/1/99
2000,Paraiba,mar,52,1/1/00
2001,Paraiba,mar,12,1/1/01
2002,Paraiba,mar,18,1/1/02
2003,Paraiba,mar,76,1/1/03
2004,Paraiba,mar,83,1/1/04
2005,Paraiba,mar,84,1/1/05
2006,Paraiba,mar,56,1/1/06
2007,Paraiba,mar,54,1/1/07
2008,Paraiba,mar,43,1/1/08
2009,Paraiba,mar,57,1/1/09
2010,Paraiba,mar,22,1/1/10
2011,Paraiba,mar,21,1/1/11
2012,Paraiba,mar,55,1/1/12
2013,Paraiba,mar,18,1/1/13
2014,Paraiba,mar,42,1/1/14
2015,Paraiba,mar,55,1/1/15
2016,Paraiba,mar,63,1/1/16
2017,Paraiba,mar,43,1/1/17
1998,Paraiba,apr,0,1/1/98
1999,Paraiba,apr,39,1/1/99
2000,Paraiba,apr,51,1/1/00
2001,Paraiba,apr,43,1/1/01
2002,Paraiba,apr,84,1/1/02
2003,Paraiba,apr,130,1/1/03
2004,Paraiba,apr,68,1/1/04
2005,Paraiba,apr,22,1/1/05
2006,Paraiba,apr,49,1/1/06
2007,Paraiba,apr,14,1/1/07
2008,Paraiba,apr,62,1/1/08
2009,Paraiba,apr,80,1/1/09
2010,Paraiba,apr,71,1/1/10
2011,Paraiba,apr,38,1/1/11
2012,Paraiba,apr,38,1/1/12
2013,Paraiba,apr,72,1/1/13
2014,Paraiba,apr,38,1/1/14
2015,Paraiba,apr,83,1/1/15
2016,Paraiba,apr,167,1/1/16
2017,Paraiba,apr,77,1/1/17
1998,Paraiba,may,0,1/1/98
1999,Paraiba,may,57,1/1/99
2000,Paraiba,may,43,1/1/00
2001,Paraiba,may,26,1/1/01
2002,Paraiba,may,65,1/1/02
2003,Paraiba,may,115,1/1/03
2004,Paraiba,may,9,1/1/04
2005,Paraiba,may,125,1/1/05
2006,Paraiba,may,90,1/1/06
2007,Paraiba,may,14,1/1/07
2008,Paraiba,may,41,1/1/08
2009,Paraiba,may,117,1/1/09
2010,Paraiba,may,39,1/1/10
2011,Paraiba,may,97,1/1/11
2012,Paraiba,may,86,1/1/12
2013,Paraiba,may,85,1/1/13
2014,Paraiba,may,109,1/1/14
2015,Paraiba,may,77,1/1/15
2016,Paraiba,may,72,1/1/16
2017,Paraiba,may,49,1/1/17
1998,Paraiba,jun,36,1/1/98
1999,Paraiba,jun,31,1/1/99
2000,Paraiba,jun,53,1/1/00
2001,Paraiba,jun,43,1/1/01
2002,Paraiba,jun,115,1/1/02
2003,Paraiba,jun,159,1/1/03
2004,Paraiba,jun,147,1/1/04
2005,Paraiba,jun,114,1/1/05
2006,Paraiba,jun,62,1/1/06
2007,Paraiba,jun,57,1/1/07
2008,Paraiba,jun,17,1/1/08
2009,Paraiba,jun,105,1/1/09
2010,Paraiba,jun,55,1/1/10
2011,Paraiba,jun,162,1/1/11
2012,Paraiba,jun,77,1/1/12
2013,Paraiba,jun,52,1/1/13
2014,Paraiba,jun,112,1/1/14
2015,Paraiba,jun,201,1/1/15
2016,Paraiba,jun,238,1/1/16
2017,Paraiba,jun,169,1/1/17
1998,Paraiba,jul,59,1/1/98
1999,Paraiba,jul,94,1/1/99
2000,Paraiba,jul,98,1/1/00
2001,Paraiba,jul,122,1/1/01
2002,Paraiba,jul,172,1/1/02
2003,Paraiba,jul,101,1/1/03
2004,Paraiba,jul,148,1/1/04
2005,Paraiba,jul,155,1/1/05
2006,Paraiba,jul,139,1/1/06
2007,Paraiba,jul,60,1/1/07
2008,Paraiba,jul,87,1/1/08
2009,Paraiba,jul,34,1/1/09
2010,Paraiba,jul,196,1/1/10
2011,Paraiba,jul,262,1/1/11
2012,Paraiba,jul,111,1/1/12
2013,Paraiba,jul,168,1/1/13
2014,Paraiba,jul,215,1/1/14
2015,Paraiba,jul,137,1/1/15
2016,Paraiba,jul,504,1/1/16
2017,Paraiba,jul,891,1/1/17
1998,Paraiba,aug,42,1/1/98
1999,Paraiba,aug,938,1/1/99
2000,Paraiba,aug,849,1/1/00
2001,Paraiba,aug,342,1/1/01
2002,Paraiba,aug,1.593,1/1/02
2003,Paraiba,aug,1.896,1/1/03
2004,Paraiba,aug,1.237,1/1/04
2005,Paraiba,aug,800,1/1/05
2006,Paraiba,aug,844,1/1/06
2007,Paraiba,aug,580,1/1/07
2008,Paraiba,aug,205,1/1/08
2009,Paraiba,aug,844,1/1/09
2010,Paraiba,aug,733,1/1/10
2011,Paraiba,aug,435,1/1/11
2012,Paraiba,aug,522,1/1/12
2013,Paraiba,aug,481,1/1/13
2014,Paraiba,aug,646,1/1/14
2015,Paraiba,aug,651,1/1/15
2016,Paraiba,aug,1.01,1/1/16
2017,Paraiba,aug,987,1/1/17
1998,Paraiba,sep,61,1/1/98
1999,Paraiba,sep,878,1/1/99
2000,Paraiba,sep,381,1/1/00
2001,Paraiba,sep,258,1/1/01
2002,Paraiba,sep,1.071,1/1/02
2003,Paraiba,sep,2.446,1/1/03
2004,Paraiba,sep,1.36,1/1/04
2005,Paraiba,sep,386,1/1/05
2006,Paraiba,sep,866,1/1/06
2007,Paraiba,sep,960,1/1/07
2008,Paraiba,sep,413,1/1/08
2009,Paraiba,sep,149,1/1/09
2010,Paraiba,sep,270,1/1/10
2011,Paraiba,sep,913,1/1/11
2012,Paraiba,sep,459,1/1/12
2013,Paraiba,sep,476,1/1/13
2014,Paraiba,sep,443,1/1/14
2015,Paraiba,sep,599,1/1/15
2016,Paraiba,sep,1.371,1/1/16
2017,Paraiba,sep,1.706,1/1/17
1998,Paraiba,oct,61,1/1/98
1999,Paraiba,oct,452,1/1/99
2000,Paraiba,oct,658,1/1/00
2001,Paraiba,oct,209,1/1/01
2002,Paraiba,oct,399,1/1/02
2003,Paraiba,oct,1.228,1/1/03
2004,Paraiba,oct,666,1/1/04
2005,Paraiba,oct,157,1/1/05
2006,Paraiba,oct,327,1/1/06
2007,Paraiba,oct,194,1/1/07
2008,Paraiba,oct,78,1/1/08
2009,Paraiba,oct,424,1/1/09
2010,Paraiba,oct,230,1/1/10
2011,Paraiba,oct,256,1/1/11
2012,Paraiba,oct,145,1/1/12
2013,Paraiba,oct,233,1/1/13
2014,Paraiba,oct,411,1/1/14
2015,Paraiba,oct,158,1/1/15
2016,Paraiba,oct,193,1/1/16
2017,Paraiba,oct,134,1/1/17
1998,Paraiba,nov,143,1/1/98
1999,Paraiba,nov,447,1/1/99
2000,Paraiba,nov,85,1/1/00
2001,Paraiba,nov,89,1/1/01
2002,Paraiba,nov,425,1/1/02
2003,Paraiba,nov,503,1/1/03
2004,Paraiba,nov,388,1/1/04
2005,Paraiba,nov,597,1/1/05
2006,Paraiba,nov,60,1/1/06
2007,Paraiba,nov,59,1/1/07
2008,Paraiba,nov,39,1/1/08
2009,Paraiba,nov,90,1/1/09
2010,Paraiba,nov,183,1/1/10
2011,Paraiba,nov,138,1/1/11
2012,Paraiba,nov,142,1/1/12
2013,Paraiba,nov,126,1/1/13
2014,Paraiba,nov,68,1/1/14
2015,Paraiba,nov,18,1/1/15
2016,Paraiba,nov,275,1/1/16
2017,Paraiba,nov,292,1/1/17
1998,Paraiba,dec,82,1/1/98
1999,Paraiba,dec,254,1/1/99
2000,Paraiba,dec,159,1/1/00
2001,Paraiba,dec,85,1/1/01
2002,Paraiba,dec,165,1/1/02
2003,Paraiba,dec,171,1/1/03
2004,Paraiba,dec,151,1/1/04
2005,Paraiba,dec,40,1/1/05
2006,Paraiba,dec,6,1/1/06
2007,Paraiba,dec,22,1/1/07
2008,Paraiba,dec,62,1/1/08
2009,Paraiba,dec,30,1/1/09
2010,Paraiba,dec,37,1/1/10
2011,Paraiba,dec,78,1/1/11
2012,Paraiba,dec,54,1/1/12
2013,Paraiba,dec,155,1/1/13
2014,Paraiba,dec,78,1/1/14
2015,Paraiba,dec,30,1/1/15
2016,Paraiba,dec,45,1/1/16
1998,Pernambuco,jan,0,1/1/98
1999,Pernambuco,jan,102,1/1/99
2000,Pernambuco,jan,3,1/1/00
2001,Pernambuco,jan,7,1/1/01
2002,Pernambuco,jan,10,1/1/02
2003,Pernambuco,jan,188,1/1/03
2004,Pernambuco,jan,29,1/1/04
2005,Pernambuco,jan,221,1/1/05
2006,Pernambuco,jan,148,1/1/06
2007,Pernambuco,jan,156,1/1/07
2008,Pernambuco,jan,170,1/1/08
2009,Pernambuco,jan,256,1/1/09
2010,Pernambuco,jan,47,1/1/10
2011,Pernambuco,jan,49,1/1/11
2012,Pernambuco,jan,146,1/1/12
2013,Pernambuco,jan,55,1/1/13
2014,Pernambuco,jan,99,1/1/14
2015,Pernambuco,jan,109,1/1/15
2016,Pernambuco,jan,24,1/1/16
2017,Pernambuco,jan,52,1/1/17
1998,Pernambuco,feb,0,1/1/98
1999,Pernambuco,feb,13,1/1/99
2000,Pernambuco,feb,4,1/1/00
2001,Pernambuco,feb,2,1/1/01
2002,Pernambuco,feb,19,1/1/02
2003,Pernambuco,feb,35,1/1/03
2004,Pernambuco,feb,8,1/1/04
2005,Pernambuco,feb,33,1/1/05
2006,Pernambuco,feb,41,1/1/06
2007,Pernambuco,feb,21,1/1/07
2008,Pernambuco,feb,48,1/1/08
2009,Pernambuco,feb,28,1/1/09
2010,Pernambuco,feb,33,1/1/10
2011,Pernambuco,feb,25,1/1/11
2012,Pernambuco,feb,64,1/1/12
2013,Pernambuco,feb,29,1/1/13
2014,Pernambuco,feb,25,1/1/14
2015,Pernambuco,feb,55,1/1/15
2016,Pernambuco,feb,19,1/1/16
